exit,fitness,n_valid,pf_is,pf_oos,mk_oos_z2
Ret_72,6.625,6,1.044611615869141,1.4989996973687365,87.8
Ret_96,0.0,6,1.092297343116034,1.4968311699415247,91.60000000000001
Ret_96,28.875,6,1.0700157851132297,1.3833196658380982,39.5
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,36.1
Ret_96,0.0,6,1.0736547621137735,1.4954073525062372,67.60000000000001
Ret_96,24.5,6,1.0859985159987966,1.3165111338372424,0.3
Ret_72,29.125,6,1.0734723499341465,1.261786846310575,14.499999999999998
Ret_96,0.0,6,1.1081516215173928,1.5153540129373464,91.10000000000001
Ret_48,75.75,6,1.1532008412982213,1.086853644170691,27.3
Ret_96,68.5,6,1.142054367415426,1.5238277227762171,73.9
Ret_96,85.625,6,1.2335006796772219,1.1032303889970718,1.3
Ret_96,35.25,6,1.0488516994646095,1.5396856526905347,81.3
Ret_72,47.625,6,1.032964824747533,1.3285457916830994,40.1
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,32.4
Ret_96,8.625,6,1.0514435922268373,1.3038971348237285,1.9
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,34.300000000000004
Ret_96,23.375,6,1.0976851228360658,1.2545165315623377,3.5000000000000004
Ret_96,0.0,6,1.0943702481063584,1.3866262664722089,40.1
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,36.7
Ret_96,0.0,6,1.0596115464223388,1.3158048410046779,15.1
Ret_96,10.375,6,1.0698290660064822,1.3852698903172203,32.4
Ret_96,37.875,6,1.1477105948139743,1.3429786017999654,13.600000000000001
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,35.0
Ret_96,40.0,6,1.1082209991699348,1.4403010365238436,57.099999999999994
Ret_72,0.0,6,1.0587211088904094,1.2963876077968393,19.3
Ret_24,0.0,5,1.0627189362471074,1.0331903926966246,28.499999999999996
SINTETICA_REVERSE,37.0,6,1.0670366255233172,1.2742876619492014,77.60000000000001
Ret_96,71.75,6,1.2034204560851511,1.7435635129259504,98.5
Ret_96,29.5,6,1.0754187146217615,1.640528680881512,88.0
Ret_96,50.25,6,1.091088520397509,1.2626619681057736,7.199999999999999
Ret_96,55.0,6,1.0974934595955415,1.4441494776128447,57.099999999999994
Ret_96,32.625,6,1.0686053998809513,1.4366314625337855,49.5
Ret_96,0.0,6,1.0677027159448027,1.4960518255304436,88.2
Ret_72,0.0,6,1.0689647274940133,1.4365204743328692,80.30000000000001
Ret_96,40.75,6,1.140258477976783,1.4773244372040697,58.699999999999996
Ret_96,0.0,6,1.0371934512175829,1.456134735918355,62.4
Ret_96,0.0,6,1.054015804130225,1.3842249507964313,27.3
Ret_96,25.75,6,1.0920960289111408,1.4340494621010391,47.8
Ret_96,13.25,6,1.1070303199099791,1.4052088532972768,56.2
Ret_72,0.0,6,1.0578577918253,1.2923510923494181,14.899999999999999
Ret_96,59.375,6,1.16472271554706,1.5877545136018687,87.3
Ret_96,5.0,6,1.077288130486464,1.4080449715716292,48.9
Ret_96,29.625,6,1.1118597067799127,1.3763966508958743,15.8
Ret_96,33.875,6,1.108274579711119,1.4403301657213958,55.00000000000001
Ret_48,72.5,5,1.3288552853274427,0.8869136601294322,7.3
Ret_48,37.25,6,1.0789082533052188,1.056351313003328,22.900000000000002
Ret_96,75.125,6,1.1266999985658583,1.3369900149197511,15.9
Ret_96,35.125,6,1.0747634588033015,1.3725255836730614,21.099999999999998
Ret_96,13.875000000000002,6,1.0662213236283686,1.2446542371931493,1.7999999999999998
Ret_72,69.625,6,1.1272912536617434,1.4827001256398382,73.8
