exit,pf_is,pf_oos,mk_is,mk_oos
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
