rule,side,exit,n_is,n_oos,pf_is,pf_oos
cmo_21_sft >= 9.11|mfi_13_sft <= Close_sft,LONG,Ret_96,345,223,1.3033,1.3807
rsi_55_sft >= 50.420631|rsi_13_sft >= 59.544155,LONG,Ret_96,305,206,1.3062,1.6186
mom_144_sft <= Close_sft|mom_34_sft >= 6.57,LONG,Ret_96,325,232,1.3086,1.3607
mfi_24_sft >= 50.55991|rsi_24_sft >= 50.393036,LONG,Ret_96,360,233,1.2657,1.4828
mom_34_sft >= 6.14|cmo_48_sft >= -17.491088|mom_5_sft >= -2.4205,LONG,Ret_96,325,229,1.2679,1.3798
rsi_21_sft >= 50.411991|roc_13_sft <= -0.05,LONG,Ret_72,347,234,1.2585,1.4333
mom_34_sft >= 6.25|mom_34_sft >= -15.832,LONG,Ret_96,327,233,1.3225,1.3539
force_89_sft >= 7990.140625|force_120_sft <= 1342171.725|mom_5_sft >= -2.4205,LONG,Ret_96,320,195,1.2714,1.6044
force_24_sft >= -2.77|cmo_200_sft >= -8.760222,LONG,Ret_96,373,243,1.2669,1.3566
force_24_sft >= 6.84|rsi_200_sft >= 45.619888,LONG,Ret_96,373,243,1.2669,1.3566
mom_5_sft >= 0.071|mfi_24_sft <= 68.029807|force_8_sft >= 3517347.45,LONG,Ret_96,285,207,1.2554,1.4317
mom_34_sft >= 6.41|rsi_21_sft <= Close_sft,LONG,Ret_96,326,232,1.3355,1.3429
cmo_24_sft >= 7.87|rsi_200_sft >= 45.619888,LONG,Ret_96,341,218,1.2841,1.4589
mfi_120_sft <= 55.01005|roc_24_sft >= 0.029852,LONG,Ret_96,340,209,1.2646,1.4603
mom_34_sft >= 6.48,LONG,Ret_96,326,232,1.3226,1.345
cmo_5_sft >= 54.602844|rsi_200_sft >= 47.95405,LONG,Ret_96,297,203,1.3207,1.5574
mom_120_sft <= Close_sft|roc_8_sft <= 6.37|mom_34_sft >= 6.45,LONG,Ret_96,326,232,1.3159,1.345
mom_120_sft <= 34.8406|rsi_34_sft >= 50.357002|roc_13_sft <= 0.339135,LONG,Ret_96,320,174,1.421,1.4059
mom_34_sft >= 6.54,LONG,Ret_96,325,232,1.3145,1.3483
mom_34_sft >= 6.36,LONG,Ret_96,327,233,1.3317,1.3442
roc_120_sft <= 1.28032|force_120_sft >= Close_sft,LONG,Ret_96,280,156,1.3416,1.7162
force_21_sft >= -9.69|cmo_89_sft >= -13.039774|roc_144_sft <= 2.706932,LONG,Ret_96,361,223,1.2545,1.4457
cmo_89_sft <= 15.10026|mfi_89_sft <= 50.597168|mom_48_sft >= 5.26,LONG,Ret_96,213,151,1.3333,1.5962
mom_34_sft >= 6.55,LONG,Ret_96,325,232,1.3081,1.3483
roc_8_sft <= Close_sft|mom_34_sft >= 6.28,LONG,Ret_96,327,233,1.3287,1.3439
mom_34_sft >= 6.28,LONG,Ret_96,327,233,1.3287,1.3439
rsi_200_sft >= 47.95405|mfi_144_sft <= Close_sft|cmo_5_sft >= 54.602844,LONG,Ret_96,297,203,1.3207,1.5574
roc_5_sft <= 0.189689|force_34_sft >= 5934.621094,LONG,Ret_96,360,225,1.26,1.5674
mom_34_sft >= 6.4,LONG,Ret_96,327,233,1.3246,1.3443
rsi_13_sft >= 7.32|mom_34_sft >= 6.27,LONG,Ret_96,327,233,1.327,1.3439
roc_21_sft <= 0.462011|force_24_sft >= 945736.46875,LONG,Ret_96,262,193,1.3012,1.4396
force_13_sft >= Close_sft|rsi_34_sft >= 50.357002|force_5_sft <= Close_sft,LONG,Ret_72,343,225,1.2743,1.5578
force_55_sft >= Close_sft|force_8_sft <= 1168048.875,LONG,Ret_96,330,204,1.3123,1.5003
mfi_13_sft >= 27.640554|mom_24_sft >= 0.409|mfi_120_sft <= 55.01005,LONG,Ret_96,338,210,1.2821,1.4256
force_55_sft >= -1.43|force_8_sft <= 1168048.875,LONG,Ret_96,330,204,1.3137,1.4998
cmo_24_sft >= 7.08|mom_24_sft >= -6.38,LONG,Ret_96,348,220,1.2554,1.4693
force_24_sft >= 945736.46875|mom_13_sft <= 6.74,LONG,Ret_96,302,191,1.2979,1.5737
cmo_21_sft >= 8.96,LONG,Ret_96,346,224,1.2803,1.3686
mom_120_sft <= 17.629001|force_48_sft >= Close_sft,LONG,Ret_96,308,154,1.2816,1.6063
cmo_21_sft >= 9.23,LONG,Ret_96,345,222,1.2969,1.3813
force_89_sft >= Close_sft|mfi_21_sft <= Close_sft|roc_144_sft <= 2.706932,LONG,Ret_96,322,187,1.3277,1.6586
mom_34_sft >= 6.46|force_144_sft >= -555866.96875,LONG,Ret_96,299,208,1.2515,1.4741
cmo_21_sft >= 9.14,LONG,Ret_96,345,223,1.2965,1.3798
cmo_21_sft >= 8.93|rsi_200_sft >= -5.18,LONG,Ret_96,346,224,1.2795,1.3686
force_48_sft >= Close_sft|mom_144_sft >= 0.16|force_55_sft >= -765378.0,LONG,Ret_72,370,233,1.257,1.5005
mom_24_sft >= 1.73|mfi_120_sft >= 42.367754|force_89_sft >= 2.23,LONG,Ret_96,312,208,1.2987,1.5128
cmo_21_sft >= 9.15,LONG,Ret_96,345,223,1.2965,1.3798
cmo_24_sft >= 7.71|cmo_55_sft >= 0.841261,LONG,Ret_96,320,213,1.2802,1.5476
