Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
trix_55_sft >= 0.02781|aroon_120_sft >= ema_13_sft,SHORT,Ret_12,9.738,0.9761,2279,90,0.8867,2.2449,0.6436,100.0,91.8,0.6565,0.5778
adx_120_sft <= 8.16|efficiency_8_sft <= ema_48_sft|aroon_120_sft >= 72.5,SHORT,Ret_12,8.985,0.9666,1654,88,0.9494,2.0432,0.6434,100.0,94.0,0.727,0.6908
trix_55_sft >= 0.02781|adx_55_sft >= ema_21_sft|ema_24_sft >= 1.064246,SHORT,Ret_12,9.292,0.9758,2279,89,0.911,2.1901,0.6432,100.0,91.8,0.6447,0.5668
linreg_144_sft >= -0.000167|aroon_120_sft >= 72.5,SHORT,Ret_12,7.783,0.9843,1654,89,0.9549,1.9947,0.643,100.0,93.4,0.7326,0.7101
linreg_200_sft >= 0.000164|ema_21_sft >= ema_55_sft,SHORT,Ret_12,6.164,0.9327,2034,77,1.4506,1.4683,0.6415,100.0,91.0,0.6346,0.6317
linreg_89_sft >= -1e-06|trix_55_sft >= 0.02781,SHORT,Ret_12,9.429,0.983,2279,93,0.8913,2.2088,0.6407,100.0,91.8,0.656,0.5468
trix_55_sft >= 0.02781|adx_13_sft <= 47.874668,SHORT,Ret_12,7.495,0.9731,3399,87,1.06,2.0044,0.6405,100.0,93.1,0.6344,0.5095
aroon_120_sft >= 72.5|trix_48_sft >= -0.015821,SHORT,Ret_12,9.286,0.9694,1654,91,0.9058,2.114,0.6399,100.0,93.4,0.7314,0.7079
aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
linreg_144_sft <= ema_34_sft|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
trix_8_sft <= ema_120_sft|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
