Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
rsi_144_sft >= -6.09|roc_120_sft >= 4.11|force_89_sft >= -1.297116,SHORT,SINTETICA_REVERSE,111.502,0.9851,1711,82,1.2032,3.1223,1.2387,100.0,95.6,0.7668,0.7614
cci_24_sft >= 77.721397|stoch_200_sft <= 25.870382,LONG,Ret_12,5.572,0.9489,1832,76,1.1409,1.4423,0.5201,100.0,94.2,0.6399,0.6031
roc_34_sft >= Close_sft|mom_120_sft >= 0.01816|force_55_sft >= Close_sft,SHORT,SINTETICA_REVERSE,20.836,0.9851,723,156,0.8907,3.1446,1.0712,100.0,92.0,0.6938,0.7057
minus_di_24_sft >= -2.56|efficiency_55_sft >= 0.287507|linreg_21_sft <= -0.000676,LONG,SINTETICA_REVERSE,12.08,0.9849,1415,104,1.6084,2.2214,1.1852,100.0,95.3,0.6334,0.7487
roc_120_sft >= 4.13|cmo_200_sft >= -0.418207,SHORT,SINTETICA_REVERSE,112.033,0.9849,1711,89,1.3185,3.5974,1.5532,100.0,92.4,0.7688,0.7943
stoch_34_sft <= 8.38|stoch_24_sft <= 15.267533|willr_55_sft <= -17.200895,LONG,SINTETICA_REVERSE,4.915,0.9611,1498,245,1.2391,2.9512,1.195,100.0,90.0,0.5798,0.6868
stoch_89_sft <= 49.695614|cci_200_sft >= -2.236664,SHORT,SINTETICA_REVERSE,4.141,0.9497,2109,166,1.3211,1.4507,0.5887,100.0,93.1,0.5718,0.6046
bbw_34_sft <= Close_sft|vol_z_21_sft >= Close_sft|natr_21_sft >= 0.378429,LONG,SINTETICA_REVERSE,1.617,0.7934,3421,304,2.0,1.357,0.6395,99.0,90.0,0.5177,0.5752
adx_200_sft <= 5.252654|macdh_200_sft <= -0.000243,LONG,SINTETICA_REVERSE,14.562,0.9848,1182,119,1.4995,3.5095,1.7971,100.0,90.7,0.6735,0.8216
vol_z_21_sft >= Close_sft|bbw_120_sft >= 0.094253|natr_48_sft >= 0.261609,LONG,SINTETICA_REVERSE,2.17,0.7892,3538,188,2.0,1.2485,0.5829,99.9,95.3,0.5363,0.5642
roc_24_sft >= -1.91|mom_120_sft >= 0.01816|force_144_sft >= 6.032463,SHORT,SINTETICA_REVERSE,18.41,0.9848,764,133,0.9546,2.9345,1.055,100.0,91.4,0.6599,0.7422
mom_34_sft >= 0.01676|rsi_8_sft >= 32.989521|roc_120_sft >= 1.618074,SHORT,SINTETICA_REVERSE,28.446,0.9847,988,142,1.0115,3.0432,1.1106,100.0,93.8,0.6823,0.718
plus_di_13_sft <= 50.28297|aroon_120_sft >= 72.5,SHORT,Ret_12,4.888,0.9847,1654,84,1.1515,1.5407,0.5895,100.0,93.6,0.72,0.6425
dow_sft >= 5.0|willr_144_sft <= -23.649166|cci_21_sft >= Close_sft,LONG,SINTETICA_REVERSE,2.688,0.9598,2296,166,0.7395,1.325,0.3175,100.0,92.2,0.5582,0.5855
mfi_55_sft >= Close_sft|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
macdh_200_sft <= -0.000243|aroon_144_sft <= -13.194445|slope_144_sft <= ema_55_sft,LONG,SINTETICA_REVERSE,75.192,0.9847,912,77,1.2589,3.5785,1.6151,100.0,92.2,0.8226,0.8603
aroon_8_sft >= 62.5|linreg_144_sft >= 0.000162,SHORT,SINTETICA_REVERSE,7.196,0.9846,1687,138,0.9964,1.9322,0.6458,100.0,94.8,0.5797,0.5744
mom_120_sft <= -0.03868|cmo_8_sft <= 55.951771,LONG,SINTETICA_REVERSE,25.769,0.9902,1469,116,0.8354,4.8725,1.4237,100.0,95.0,0.7467,0.7406
mom_200_sft >= 0.02501|roc_120_sft >= 1.618074,SHORT,SINTETICA_REVERSE,18.214,0.9845,844,133,0.9526,3.1988,1.1308,100.0,90.6,0.6528,0.7117
trix_48_sft >= 0.01754|efficiency_8_sft >= 0.874644|trix_200_sft >= -2.91,SHORT,Ret_12,9.531,0.9842,3003,82,0.8088,1.8516,0.476,100.0,93.4,0.6966,0.6924
plus_di_21_sft >= 36.343323|aroon_144_sft >= 25.0,SHORT,SINTETICA_REVERSE,18.379,0.9842,892,79,0.8797,1.6355,0.5336,100.0,93.3,0.6867,0.6683
mom_21_sft <= 5.01|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,28.664,0.9901,1112,117,0.7955,5.3226,1.5472,100.0,92.6,0.7366,0.7189
macdh_144_sft <= 0.000326|macdh_120_sft <= -0.000354|aroon_200_sft <= ema_13_sft,LONG,SINTETICA_REVERSE,32.196,0.9841,652,77,1.4572,3.1187,1.6941,100.0,90.3,0.7345,0.8325
aroon_200_sft <= -8.5|slope_89_sft <= -0.069746,LONG,SINTETICA_REVERSE,24.214,0.984,624,100,1.2755,3.073,1.4844,100.0,91.3,0.6838,0.766
